Museum,Cat,Country,State,Locality,loc,Lat,Long,Taxon,sub,Juv,Sex,Wing,Tail,Tarsus,length,low_len,depth,width,brightness,hue,chroma,Notes,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
MCZ,265277,Honduras,,"Mount Pucca, Gracias",2,,,griscomi,5,0,1,167,165,41.5,22.4,19.5,10.9,10.2,-0.1897,1.0033,-1.2318,,19.566,27.551,30.889,31.2715,29.641,26.8005,23.3455,19.6945,16.425,13.8525,11.7505,10.353,9.3995,8.516,7.6365,6.6675,5.6535,4.1525,3.1295,1.1695
MCZ,265278,Honduras,,"Mount Pucca, Gracias",2,,,griscomi,5,0,0,175,169,42.9,23.6,20,11.1,10.6,-1.4572,-1.5167,1.6717,,25.8005,38.2695,41.089,39.126,34.4095,28.6745,22.8925,17.5645,13.329,10.396,8.1325,6.645,5.6095,4.707,3.966,3.2115,2.962,2.873,1.531,0.9205
MCZ,265279,Honduras,,"Mount Pucca, Gracias",2,,,griscomi,5,0,1,165,168,43.8,22.4,18.9,11.1,10.3,-1.2917,-2.3222,0.128,,23.2705,34.97,38.4175,37.4225,34.024,29.271,24.1775,19.2915,15.1985,12.1365,9.3265,7.6565,6.432,5.0235,4.0645,2.664,0.6685,-1.578,-5.613,-11.2355
MCZ,265280,Honduras,,"Mount Pucca, Gracias",2,,,griscomi,5,0,1,173,166,40.8,22.4,20.1,10.3,10,-1.4903,-2.6906,-0.2049,,22.313,33.3965,37.3505,37.4755,34.4415,29.89,24.912,19.9445,15.6345,12.3655,9.326,7.2525,5.975,4.572,3.261,2.134,0.2395,-2.3755,-7.2595,-12.943
MCZ,265281,Honduras,,"Mount Pucca, Gracias",2,,,griscomi,5,0,0,168,170,41.5,21.3,18.8,10.5,9.5,-0.4324,-4.0747,0.4275,,29.5845,40.0875,42.6675,40.8185,36.3025,30.679,25.4745,20.5895,16.2715,13.0625,10.119,8.253,6.984,5.3915,4.0405,1.8565,-1.6905,-5.66,-14.5615,-25.8125
MCZ,265282,Honduras,,"Mount Pucca, Gracias",2,,,griscomi,5,0,1,161,166,42.9,21,18.6,11.1,10.5,1.2169,-0.2239,-0.1014,,26.605,35.323,37.7995,36.783,33.7485,29.683,25.376,21.1285,17.49,14.771,12.218,10.716,9.605,8.599,7.9775,6.5955,4.7685,3.7105,0.7845,-3.284
MLZ,16787,Honduras,Departamento Ocotepeque,El Chorro,1,14.4,-89.23333333,griscomi,5,0,0,168,171,40.8,20.7,17.8,10.5,9.5,-3.9495,2.805,-1.6296,late juvenile,12.964,18.5555,20.9145,21.095,20.089,18.1295,15.821,13.672,11.7305,10.1295,8.908,8.05,7.4455,6.978,6.8865,6.5585,6.205,5.991,5.16,3.662
MLZ,16791,Honduras,Departamento Ocotepeque,El Chorro,1,14.4,-89.23333333,griscomi,5,0,1,163,168,39.9,20.4,16.8,10,9.4,-4.5537,0.6528,0.6978,,20.6785,27.6495,28.491,26.7235,24.0895,20.603,16.73,13.1535,10.186,8.038,6.404,5.255,4.54,4.1045,4.059,3.8765,3.8135,4.1195,4.1555,4.705
MLZ,16965,Honduras,Departamento Ocotepeque,El Chorro,1,14.4,-89.23333333,griscomi,5,0,1,164,173,41.4,20.7,17.7,10.5,10,-2.3659,1.843,0.6891,,20.642,29.7335,31.362,29.796,26.6345,22.572,18.477,14.8305,11.886,9.794,8.427,7.3755,6.7125,6.488,6.685,7.1045,7.553,7.9595,9,8.888
MLZ,16968,Honduras,Departamento Ocotepeque,El Chorro,1,14.4,-89.23333333,griscomi,5,0,,155,160,39.2,21,18.4,10.6,9.5,-1.5425,3.6648,-0.6327,Leg broken in half,18.9235,24.5595,25.6275,24.6775,22.938,20.7155,18.15,15.8055,13.579,11.7915,10.441,9.636,9.0875,8.943,8.99,9.0715,9.9895,10.3,10.9855,13.1595
MLZ,17143,Honduras,Departamento Ocotepeque,Cerro Verde,1,14.516667,-88.75,griscomi,5,0,,162,172,35.2,20.6,16,9.7,9.3,-2.435,2.3798,0.0625,Could be juvenile,18.7175,26.6045,28.768,27.681,25.121,21.8175,18.2845,14.9635,12.2795,10.205,8.761,7.835,7.15,7.0525,7.283,7.4525,7.5135,8.5515,8.948,10.482
UCLA,18357,El Salvador,,Los Esesmiles,1,14.2833333,-89.1166667,griscomi,5,0,0,161,170,41.4,21.5,18.5,10,9.2,-1.7173,-3.3836,0.0194,,25.8475,37.046,39.158,36.606,32.2845,27.1965,22.527,18.4055,14.8845,12.141,9.393,7.787,6.748,5.4205,3.8385,1.298,-1.941,-5.7005,-14.504,-23.734
USNM,348184,Honduras,,Cantoral,4,14.333333,-87.4,griscomi,5,0,0,171,182,43,22.5,20.3,11,10.4,-0.2156,0.9904,1.0105,,26.8755,35.53,36.747,34.383,30.3375,25.5465,21.146,17.39,14.2845,12.0515,10.3905,9.259,8.5585,8.104,7.654,7.2655,6.948,6.8135,6.215,4.6735
